Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Additional Number ,From Last,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
3720,9/12/2021,1,17,30,31,42,43,46,"42,43",4,2,1,1,1,1,2,1.0,1131910.0,2.0,119149.0,90.0,1821.0,167.0,536.0,4036.0,50.0,4611.0,25.0,77536.0,10.0
3718,2/12/2021,6,12,22,23,40,49,25,12,2,4,1,1,2,1,1,0.0,0.0,2.0,156894.0,96.0,2248.0,321.0,367.0,6364.0,50.0,9236.0,25.0,124189.0,10.0
3717,29/11/2021,1,7,12,26,28,32,21,32,2,4,2,1,2,1,0,0.0,0.0,3.0,83354.0,124.0,1387.0,408.0,230.0,7062.0,50.0,10918.0,25.0,116758.0,10.0
3716,25/11/2021,6,20,27,32,40,44,4,20,1,5,1,1,1,2,1,2.0,562221.0,2.0,118363.0,85.0,1915.0,250.0,356.0,4148.0,50.0,6857.0,25.0,79308.0,10.0
3715,22/11/2021,1,3,16,20,35,41,5,1,4,2,2,2,0,1,1,1.0,2819063.0,5.0,71498.0,135.0,1821.0,461.0,291.0,6901.0,50.0,13117.0,25.0,129009.0,10.0
3714,18/11/2021,1,10,39,43,45,48,14,"43,48",4,2,2,0,0,1,3,0.0,0.0,3.0,78667.0,80.0,2029.0,188.0,471.0,3601.0,50.0,5278.0,25.0,73433.0,10.0
3713,15/11/2021,23,27,31,34,43,48,1,48,4,2,0,0,2,2,2,3.0,3612023.0,9.0,125589.0,471.0,1650.0,1090.0,389.0,22514.0,50.0,30093.0,25.0,405250.0,10.0
3712,11/11/2021,5,7,12,35,48,49,2,"7,35",4,2,2,1,0,1,2,0.0,0.0,5.0,105254.0,255.0,1419.0,558.0,354.0,11483.0,50.0,17055.0,25.0,208448.0,10.0
3711,8/11/2021,7,8,20,31,35,41,3,7,4,2,2,1,0,2,1,0.0,0.0,3.0,208239.0,141.0,1845.0,452.0,314.0,8018.0,50.0,13096.0,25.0,150381.0,10.0
3710,4/11/2021,7,18,22,36,44,45,30,"7,22",2,4,1,1,1,1,2,0.0,0.0,0.0,0.0,74.0,2291.0,165.0,561.0,4727.0,50.0,5881.0,25.0,85625.0,10.0
